league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
3,2022,19342,2022-08-05 18:30:00,132,117,Eintracht Frankfurt,Bayern Munich,BAY,EIN,1,6,0.756176,4.56023,True,True,https://understat.com/match/19342
3,2022,19347,2022-08-06 13:30:00,121,135,Augsburg,Freiburg,FRE,AUG,0,4,0.585905,1.54255,True,True,https://understat.com/match/19347
3,2022,19346,2022-08-06 13:30:00,268,125,Bochum,Mainz 05,MAI,BOC,1,2,0.818183,1.59439,True,True,https://understat.com/match/19346
3,2022,19348,2022-08-06 16:30:00,129,119,Borussia Dortmund,Bayer Leverkusen,LEV,DOR,1,0,2.38349,1.23566,True,True,https://understat.com/match/19348
3,2022,19344,2022-08-06 13:30:00,130,120,Borussia M.Gladbach,Hoffenheim,HOF,BMG,3,1,2.07456,0.119138,True,True,https://understat.com/match/19344
3,2022,19343,2022-08-06 13:30:00,240,122,Union Berlin,Hertha Berlin,HER,UNI,3,1,1.18263,0.350984,True,True,https://understat.com/match/19343
3,2022,19345,2022-08-06 13:30:00,131,123,Wolfsburg,Werder Bremen,WER,WOL,2,2,0.954909,1.04228,True,True,https://understat.com/match/19345
3,2022,19350,2022-08-07 15:30:00,134,124,FC Cologne,Schalke 04,SCH,COL,3,1,4.42242,0.227735,True,True,https://understat.com/match/19350
3,2022,19349,2022-08-07 13:30:00,133,136,VfB Stuttgart,RasenBallsport Leipzig,RBL,STU,1,1,0.565488,2.13153,True,True,https://understat.com/match/19349
3,2022,19351,2022-08-12 18:30:00,135,129,Freiburg,Borussia Dortmund,DOR,FRE,1,3,1.0831,0.781529,True,True,https://understat.com/match/19351
3,2022,19352,2022-08-13 13:30:00,119,121,Bayer Leverkusen,Augsburg,AUG,LEV,1,2,2.7843,0.749163,True,True,https://understat.com/match/19352
3,2022,19356,2022-08-13 13:30:00,122,132,Hertha Berlin,Eintracht Frankfurt,EIN,HER,1,1,2.06497,1.20421,True,True,https://understat.com/match/19356
3,2022,19355,2022-08-13 13:30:00,120,268,Hoffenheim,Bochum,BOC,HOF,3,2,2.3761,1.47438,True,True,https://understat.com/match/19355
3,2022,19353,2022-08-13 13:30:00,136,134,RasenBallsport Leipzig,FC Cologne,COL,RBL,2,2,1.17885,1.51583,True,True,https://understat.com/match/19353
3,2022,19357,2022-08-13 16:30:00,124,130,Schalke 04,Borussia M.Gladbach,BMG,SCH,2,2,1.69324,1.41135,True,True,https://understat.com/match/19357
3,2022,19354,2022-08-13 13:30:00,123,133,Werder Bremen,VfB Stuttgart,STU,WER,2,2,0.704357,1.31637,True,True,https://understat.com/match/19354
3,2022,19359,2022-08-14 15:30:00,117,131,Bayern Munich,Wolfsburg,WOL,BAY,2,0,1.4017,0.443318,True,True,https://understat.com/match/19359
3,2022,19358,2022-08-14 13:30:00,125,240,Mainz 05,Union Berlin,UNI,MAI,0,0,0.648549,0.301432,True,True,https://understat.com/match/19358
3,2022,19360,2022-08-19 18:30:00,130,122,Borussia M.Gladbach,Hertha Berlin,HER,BMG,1,0,2.26575,0.967668,True,True,https://understat.com/match/19360
3,2022,19362,2022-08-20 13:30:00,121,125,Augsburg,Mainz 05,MAI,AUG,1,2,0.306368,2.04608,True,True,https://understat.com/match/19362
3,2022,19365,2022-08-20 13:30:00,119,120,Bayer Leverkusen,Hoffenheim,HOF,LEV,0,3,1.10143,1.30099,True,True,https://understat.com/match/19365
3,2022,19364,2022-08-20 13:30:00,129,123,Borussia Dortmund,Werder Bremen,WER,DOR,2,3,0.625547,1.20064,True,True,https://understat.com/match/19364
3,2022,19366,2022-08-20 16:30:00,240,136,Union Berlin,RasenBallsport Leipzig,RBL,UNI,2,1,0.642263,0.958767,True,True,https://understat.com/match/19366
3,2022,19363,2022-08-20 13:30:00,133,135,VfB Stuttgart,Freiburg,FRE,STU,0,1,0.766656,0.903953,True,True,https://understat.com/match/19363
3,2022,19361,2022-08-20 13:30:00,131,124,Wolfsburg,Schalke 04,SCH,WOL,0,0,1.20648,1.03296,True,True,https://understat.com/match/19361
3,2022,19368,2022-08-21 15:30:00,268,117,Bochum,Bayern Munich,BAY,BOC,0,7,0.747624,3.98121,True,True,https://understat.com/match/19368
3,2022,19367,2022-08-21 13:30:00,132,134,Eintracht Frankfurt,FC Cologne,COL,EIN,1,1,0.54009,0.236472,True,True,https://understat.com/match/19367
3,2022,19369,2022-08-26 18:30:00,135,268,Freiburg,Bochum,BOC,FRE,1,0,4.40931,1.13013,True,True,https://understat.com/match/19369
3,2022,19375,2022-08-27 16:30:00,117,130,Bayern Munich,Borussia M.Gladbach,BMG,BAY,1,1,3.17378,0.548057,True,True,https://understat.com/match/19375
3,2022,19373,2022-08-27 13:30:00,122,129,Hertha Berlin,Borussia Dortmund,DOR,HER,0,1,0.353045,2.97427,True,True,https://understat.com/match/19373
3,2022,19372,2022-08-27 13:30:00,120,121,Hoffenheim,Augsburg,AUG,HOF,1,0,2.00234,0.458737,True,True,https://understat.com/match/19372
3,2022,19371,2022-08-27 13:30:00,125,119,Mainz 05,Bayer Leverkusen,LEV,MAI,0,3,1.62032,1.40426,True,True,https://understat.com/match/19371
3,2022,19370,2022-08-27 13:30:00,136,131,RasenBallsport Leipzig,Wolfsburg,WOL,RBL,2,0,3.79244,0.520425,True,True,https://understat.com/match/19370
3,2022,19374,2022-08-27 13:30:00,124,240,Schalke 04,Union Berlin,UNI,SCH,1,6,1.86616,1.0651,True,True,https://understat.com/match/19374
3,2022,19376,2022-08-28 13:30:00,134,133,FC Cologne,VfB Stuttgart,STU,COL,0,0,0.385951,1.96538,True,True,https://understat.com/match/19376
3,2022,19377,2022-08-28 15:30:00,123,132,Werder Bremen,Eintracht Frankfurt,EIN,WER,3,4,1.88918,1.87305,True,True,https://understat.com/match/19377
3,2022,19378,2022-09-02 18:30:00,129,120,Borussia Dortmund,Hoffenheim,HOF,DOR,1,0,2.521,0.360446,True,True,https://understat.com/match/19378
3,2022,19379,2022-09-03 13:30:00,119,135,Bayer Leverkusen,Freiburg,FRE,LEV,2,3,1.79727,2.35383,True,True,https://understat.com/match/19379
