season,season_label,team,player_count,avg_age,min_age,max_age,missing_age
2425,2024/2025,1. FC Union Berlin,31,28.0,19.0,39.0,0
2425,2024/2025,1. FC Heidenheim 1846,29,27.79310344827586,20.0,39.0,0
2425,2024/2025,Mainz,28,27.642857142857142,20.0,35.0,0
2425,2024/2025,VfL Bochum,31,27.580645161290324,18.0,39.0,0
2425,2024/2025,Holstein Kiel,28,27.107142857142858,23.0,35.0,0
2425,2024/2025,SC Freiburg,29,26.96551724137931,20.0,35.0,0
2425,2024/2025,FC Augsburg,34,26.235294117647058,19.0,34.0,0
2425,2024/2025,Werder Bremen,32,26.21875,18.0,35.0,0
2425,2024/2025,St. Pauli,34,26.176470588235293,18.0,35.0,0
2425,2024/2025,Borussia Mönchengladbach,29,26.06896551724138,19.0,37.0,0
2425,2024/2025,Bayern Munich,34,25.970588235294116,17.0,39.0,0
2425,2024/2025,Bayer Leverkusen,31,25.903225806451612,18.0,36.0,0
2425,2024/2025,TSG Hoffenheim,42,25.714285714285715,20.0,35.0,0
2425,2024/2025,VfL Wolfsburg,35,25.4,18.0,38.0,0
2425,2024/2025,Borussia Dortmund,35,25.37142857142857,19.0,34.0,0
2425,2024/2025,Eintracht Frankfurt,30,25.266666666666666,17.0,37.0,0
2425,2024/2025,VfB Stuttgart,32,25.15625,19.0,31.0,0
2425,2024/2025,RB Leipzig,35,24.37142857142857,18.0,35.0,0
