season,age_int,players,total_goals,total_shots,goals_per_shot
2324,36,1,3,16,0.1875
2324,31,19,87,586,0.14846416382252559
2324,19,9,9,62,0.14516129032258066
2324,21,17,54,374,0.1443850267379679
2324,24,41,126,881,0.14301929625425652
2324,20,13,18,151,0.11920529801324503
2324,33,14,25,212,0.1179245283018868
2324,28,36,117,1003,0.11665004985044865
2324,26,43,88,767,0.11473272490221642
2324,32,15,34,299,0.11371237458193979
2324,22,31,62,555,0.11171171171171171
2324,35,7,16,144,0.1111111111111111
2324,23,26,38,354,0.10734463276836158
2324,30,33,83,774,0.10723514211886305
2324,25,31,74,706,0.1048158640226629
2324,29,30,61,585,0.10427350427350428
2324,34,5,4,46,0.08695652173913043
2324,37,3,1,12,0.08333333333333333
2324,27,34,59,732,0.08060109289617487
2324,38,1,1,26,0.038461538461538464
2425,33,11,31,177,0.1751412429378531
2425,23,36,112,745,0.15033557046979865
2425,32,16,69,468,0.14743589743589744
2425,29,33,125,849,0.14723203769140164
2425,21,18,23,173,0.1329479768786127
2425,22,22,56,427,0.13114754098360656
2425,20,15,26,212,0.12264150943396226
2425,26,35,77,651,0.11827956989247312
2425,25,35,88,762,0.11548556430446194
2425,27,45,106,929,0.11410118406889128
2425,34,7,14,133,0.10526315789473684
2425,31,28,50,522,0.09578544061302682
2425,24,27,46,500,0.092
2425,28,33,60,655,0.0916030534351145
2425,35,4,2,22,0.09090909090909091
2425,30,26,46,513,0.08966861598440545
2425,36,2,2,32,0.0625
2425,19,9,1,58,0.017241379310344827
2425,18,1,0,1,0.0
2425,38,2,0,10,0.0
2425,39,1,0,5,0.0
