season,season_label,team,player,age_ref
2324,2023/2024,1. FC Heidenheim 1846,Adrian Beck,26.8145106091718
2324,2023/2024,1. FC Heidenheim 1846,Benedikt Gimber,27.359342915811087
2324,2023/2024,1. FC Heidenheim 1846,Christian Kühlwetter,28.191649555099247
2324,2023/2024,1. FC Heidenheim 1846,Denis Thomalla,31.871321013004792
2324,2023/2024,1. FC Heidenheim 1846,Eren Dinkci,22.546201232032853
2324,2023/2024,1. FC Heidenheim 1846,Florian Pick,28.892539356605067
2324,2023/2024,1. FC Heidenheim 1846,Frank Feller,19.99726214921287
2324,2023/2024,1. FC Heidenheim 1846,Jan Schöppner,24.566735112936342
2324,2023/2024,1. FC Heidenheim 1846,Jonas Föhrenbach,28.42710472279261
2324,2023/2024,1. FC Heidenheim 1846,Kevin Müller,33.295003422313485
2324,2023/2024,1. FC Heidenheim 1846,Kevin Sessa,24.06297056810404
2324,2023/2024,1. FC Heidenheim 1846,Lennard Maloney,24.88980150581793
2324,2023/2024,1. FC Heidenheim 1846,Luka Janes,20.44626967830253
2324,2023/2024,1. FC Heidenheim 1846,Marnon Busch,29.883641341546884
2324,2023/2024,1. FC Heidenheim 1846,Marvin Pieringer,25.22381930184805
2324,2023/2024,1. FC Heidenheim 1846,Niklas Beste,25.24845995893224
2324,2023/2024,1. FC Heidenheim 1846,Nikola Dovedan,30.06433949349761
2324,2023/2024,1. FC Heidenheim 1846,Norman Theuerkauf,37.43189596167009
2324,2023/2024,1. FC Heidenheim 1846,Omar-Haktab Traoré,26.245037645448324
2324,2023/2024,1. FC Heidenheim 1846,Patrick Mainka,30.05338809034908
2324,2023/2024,1. FC Heidenheim 1846,Seedy Jarju,19.67145790554415
2324,2023/2024,1. FC Heidenheim 1846,Stefan Schimmer,30.17385352498289
2324,2023/2024,1. FC Heidenheim 1846,Thomas Keller,25.14715947980835
2324,2023/2024,1. FC Heidenheim 1846,Tim Kleindienst,28.83230663928816
2324,2023/2024,1. FC Heidenheim 1846,Tim Siersleben,23.822039698836413
2324,2023/2024,1. FC Heidenheim 1846,Vitus Eicher,34.13826146475017
2324,2023/2024,1. FC Union Berlin,Alex Král,26.11635865845312
2324,2023/2024,1. FC Union Berlin,Alexander Schwolow,32.39698836413415
2324,2023/2024,1. FC Union Berlin,Aljoscha Kemlein,20.39151266255989
2324,2023/2024,1. FC Union Berlin,András Schäfer,25.21560574948665
