season,season_label,home_away,player,player_id,matches,teams,avg_overall_rating,median_overall_rating,best_overall_rating,worst_overall_rating,starts,motm_awards,eligible_for_leaderboard
2425,2024/2025,away,Omar Marmoush,394749,9,1,8.20111111111111,8.28,10.0,6.54,9,6,True
2425,2024/2025,away,Michael Olise,371281,17,1,7.694117647058825,7.75,10.0,5.95,13,5,True
2425,2024/2025,away,Jamal Musiala,395252,12,1,7.634166666666666,7.615,9.49,6.17,12,4,True
2425,2024/2025,away,Harry Kane,83532,15,1,7.593999999999999,7.64,10.0,5.96,14,4,True
2425,2024/2025,away,Tiago Pereira Cardoso,464885,3,1,7.47,7.31,8.99,6.11,2,1,False
2425,2024/2025,away,Joshua Kimmich,283323,16,1,7.40875,7.445,8.4,6.51,16,0,True
2425,2024/2025,away,Lasse Rieß,433039,1,1,7.31,7.31,7.31,7.31,1,0,False
2425,2024/2025,away,Mario Hermoso,344156,2,1,7.3,7.3,7.47,7.13,2,0,False
2425,2024/2025,away,Dayot Upamecano,327721,9,1,7.297777777777778,7.23,8.07,6.16,9,1,True
2425,2024/2025,away,Moritz Jenz,425018,8,1,7.29375,7.4350000000000005,7.98,6.11,7,0,True
2425,2024/2025,away,Willi Orbán,104917,12,1,7.274166666666667,7.5,9.21,4.86,12,3,True
2425,2024/2025,away,Tim Kleindienst,129368,16,1,7.2625,7.26,8.37,6.28,16,2,True
2425,2024/2025,away,Thomas Dähne,113365,5,1,7.258,6.79,8.53,6.43,5,0,True
2425,2024/2025,away,Jonathan Burkardt,363037,13,1,7.253076923076923,7.64,8.39,5.67,13,3,True
2425,2024/2025,away,Franck Honorat,137837,8,1,7.23875,7.205,8.2,6.01,7,0,True
2425,2024/2025,away,Maximilian Mittelstädt,261020,16,1,7.216875,7.4399999999999995,8.08,5.93,14,3,True
2425,2024/2025,away,Mohammed Amoura,431045,16,1,7.199375,6.865,9.27,6.03,15,3,True
2425,2024/2025,away,Marvin Ducksch,115509,16,1,7.183125,7.145,9.57,5.81,15,2,True
2425,2024/2025,away,Florian Wirtz,394786,15,1,7.181333333333333,6.97,8.35,5.8,12,4,True
2425,2024/2025,away,Rasmus Kristensen,302812,16,1,7.16125,6.965,8.27,6.17,15,2,True
2425,2024/2025,away,Tom Bischof,431282,16,1,7.1587499999999995,7.140000000000001,9.19,5.93,16,1,True
2425,2024/2025,away,Alexander Bernhardsson,470693,8,1,7.155,6.675000000000001,9.52,6.28,6,1,True
2425,2024/2025,away,Maximilian Arnold,108919,13,1,7.125384615384615,7.16,8.62,6.01,13,1,True
2425,2024/2025,away,Finn Dahmen,353985,10,1,7.123,7.109999999999999,7.87,6.27,10,0,True
2425,2024/2025,away,Jens Stage,377280,14,1,7.111428571428571,6.77,9.03,6.08,13,1,True
2425,2024/2025,away,Denis Vavro,129363,15,1,7.110666666666666,7.1,8.41,5.9,14,2,True
2425,2024/2025,away,Min-Jae Kim,370912,13,1,7.109230769230769,7.22,7.99,5.26,13,0,True
2425,2024/2025,away,Dominik Kohr,110165,14,1,7.100714285714285,6.915,8.19,6.1,14,1,True
2425,2024/2025,away,Stefan Bell,83467,9,1,7.097777777777777,7.35,8.54,6.02,9,1,True
2425,2024/2025,away,Hugo Ekitiké,403784,16,1,7.090625,7.01,8.85,6.15,15,0,True
2425,2024/2025,away,Patrik Schick,243565,15,1,7.064666666666667,7.03,8.26,5.87,10,4,True
2425,2024/2025,away,Serhou Guirassy,236506,16,1,7.060625,6.98,8.76,6.0,15,2,True
2425,2024/2025,away,Nadiem Amiri,261021,15,1,7.0553333333333335,6.87,8.9,5.02,15,2,True
2425,2024/2025,away,Felix Agu,379190,11,1,7.046363636363637,6.84,8.01,6.04,10,1,True
2425,2024/2025,away,Kingsley Coman,125883,14,1,7.045,6.86,8.66,6.15,7,0,True
2425,2024/2025,away,Jackson Irvine,118837,15,1,7.044,6.93,8.12,6.35,15,1,True
2425,2024/2025,away,Xavi Simons,399772,13,1,7.03923076923077,6.85,9.06,6.09,13,1,True
2425,2024/2025,away,Péter Gulácsi,67369,15,1,7.022,7.11,8.59,5.12,15,1,True
2425,2024/2025,away,Alexis Claude-Maurice,327905,14,1,7.009285714285714,6.8149999999999995,9.87,6.06,13,2,True
2425,2024/2025,away,Waldemar Anton,296768,13,1,6.998461538461539,6.89,8.26,6.1,11,1,True
2425,2024/2025,away,Serge Gnabry,119501,14,1,6.994285714285715,6.82,8.2,5.98,8,0,True
2425,2024/2025,away,Anton Stach,401073,15,1,6.98,6.87,8.0,6.34,15,0,True
2425,2024/2025,away,Kamil Grabara,364015,15,1,6.979333333333333,7.0,7.91,5.39,15,2,True
2425,2024/2025,away,Alejandro Grimaldo,107252,15,1,6.978666666666667,6.98,7.91,6.17,15,0,True
2425,2024/2025,away,Ritsu Doan,343435,17,1,6.977647058823529,7.07,8.23,5.78,16,1,True
2425,2024/2025,away,Marius Müller,111801,3,1,6.976666666666667,7.05,7.64,6.24,2,0,False
