season,age_int,players,total_goals,total_shots,goals_per_shot
2425,33,11,31,177,0.1751412429378531
2425,23,36,112,745,0.15033557046979865
2425,32,16,69,468,0.14743589743589744
2425,29,33,125,849,0.14723203769140164
2425,21,18,23,173,0.1329479768786127
2425,22,22,56,427,0.13114754098360656
2425,20,15,26,212,0.12264150943396226
2425,26,35,77,651,0.11827956989247312
2425,25,35,88,762,0.11548556430446194
2425,27,45,106,929,0.11410118406889128
2425,34,7,14,133,0.10526315789473684
2425,31,28,50,522,0.09578544061302682
2425,28,32,58,628,0.09235668789808917
2425,24,27,46,500,0.092
2425,35,4,2,22,0.09090909090909091
2425,30,27,48,540,0.08888888888888889
2425,36,2,2,32,0.0625
2425,19,9,1,58,0.017241379310344827
2425,18,1,0,1,0.0
2425,38,2,0,10,0.0
2425,39,1,0,5,0.0
