season,season_label,game_id,team,home_away,avg_age,goals,shots,goals_per_shot
2425,2024/2025,711433,1. FC Union Berlin,away,27.86028129208894,1,15,0.06666666666666667
2425,2024/2025,711433,Mainz,home,27.409015351520484,1,14,0.07142857142857142
2425,2024/2025,711434,Bayern Munich,away,25.752305028787696,3,15,0.2
2425,2024/2025,711434,VfL Wolfsburg,home,25.167576024249534,2,10,0.2
2425,2024/2025,711435,Holstein Kiel,away,26.528991884228024,2,17,0.11764705882352941
2425,2024/2025,711435,TSG Hoffenheim,home,25.51605227991265,3,21,0.14285714285714285
2425,2024/2025,711436,SC Freiburg,home,26.786376832117824,3,16,0.1875
2425,2024/2025,711436,VfB Stuttgart,away,24.942505133470227,1,9,0.1111111111111111
2425,2024/2025,711437,RB Leipzig,home,24.251334702258728,1,13,0.07692307692307693
2425,2024/2025,711437,VfL Bochum,away,27.461173301538935,0,10,0.0
2425,2024/2025,711438,1. FC Heidenheim 1846,away,27.525124501404328,2,5,0.4
2425,2024/2025,711438,St. Pauli,home,26.03293473446874,0,11,0.0
2425,2024/2025,711439,FC Augsburg,home,26.066674719168983,2,11,0.18181818181818182
2425,2024/2025,711439,Werder Bremen,away,26.069900752908968,2,11,0.18181818181818182
2425,2024/2025,711440,Borussia Dortmund,home,25.172347707049965,2,20,0.1
2425,2024/2025,711440,Eintracht Frankfurt,away,25.047501711156745,0,7,0.0
2425,2024/2025,711441,1. FC Heidenheim 1846,home,27.525124501404328,4,15,0.26666666666666666
2425,2024/2025,711441,FC Augsburg,away,26.066674719168983,0,15,0.0
2425,2024/2025,711442,Mainz,away,27.409015351520484,3,11,0.2727272727272727
2425,2024/2025,711442,VfB Stuttgart,home,24.942505133470227,3,28,0.10714285714285714
2425,2024/2025,711443,Borussia Dortmund,away,25.172347707049965,0,9,0.0
2425,2024/2025,711443,Werder Bremen,home,26.069900752908968,0,5,0.0
2425,2024/2025,711444,Holstein Kiel,home,26.528991884228024,0,13,0.0
2425,2024/2025,711444,VfL Wolfsburg,away,25.167576024249534,2,13,0.15384615384615385
2425,2024/2025,711445,Borussia Mönchengladbach,away,25.844650569992208,2,15,0.13333333333333333
2425,2024/2025,711445,VfL Bochum,home,27.461173301538935,0,15,0.0
2425,2024/2025,711446,Eintracht Frankfurt,home,25.047501711156745,3,18,0.16666666666666666
