league,season,season_label,team,player,player_id,appearances,age,age_ref,data_source
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Adrian Beck,277999,33,27.81,27.813826146475016,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Benedikt Gimber,220716,33,28.36,28.358658453114305,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Budu Zivzivadze,237727,15,30.74,30.740588637919235,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Denis Thomalla,151122,1,32.87,32.87063655030801,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Frank Feller,334262,16,21.0,20.996577686516083,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Frans Krätzig,346749,17,22.46,22.458590006844627,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Jan Schöppner,291798,33,25.57,25.56605065023956,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Jonas Föhrenbach,220815,32,29.43,29.426420260095824,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Julian Niehues,322555,10,24.2,24.202600958247775,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Kevin Müller,149276,33,34.29,34.2943189596167,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Lennard Maloney,267798,11,25.89,25.88911704312115,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Luca Kerber,364791,32,22.74,22.740588637919235,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Luka Janes,371370,2,21.45,21.44558521560575,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Léo Scienza,343995,31,26.8,26.795345653661876,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Marnon Busch,208176,31,30.88,30.882956878850102,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Marvin Pieringer,312389,31,26.22,26.223134839151268,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Mathias Honsak,234457,22,28.53,28.525667351129364,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Maximilian Breunig,307892,19,24.88,24.876112251882272,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Mikkel Kaufmann,277107,13,24.33,24.331279945242983,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Niklas Dorsch,225567,23,27.46,27.45516769336071,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Norman Theuerkauf,117279,18,38.43,38.431211498973305,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Omar-Haktab Traoré,291914,32,27.24,27.24435318275154,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Patrick Mainka,184075,34,31.05,31.052703627652292,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Paul Wanner,333399,33,19.52,19.51813826146475,ESPN
GER-Bundesliga,2425,2024/2025,1. FC Heidenheim 1846,Sirlord Conteh,307508,33,28.81,28.810403832991103,ESPN
