season,season_label,game_id,game,team,home_away,player,player_id,overall_rating,is_starting_xi,is_man_of_the_match
2425,2024/2025,1834286,2024-09-14 Holstein Kiel-Bayern Munich,Bayern,away,Harry Kane,83532,10.0,True,True
2425,2024/2025,1834296,2024-09-21 Werder Bremen-Bayern Munich,Bayern,away,Michael Olise,371281,10.0,True,True
2425,2024/2025,1834322,2024-09-29 Holstein Kiel-Eintracht Frankfurt,Eintracht Frankfurt,away,Omar Marmoush,394749,10.0,True,True
2425,2024/2025,1834440,2025-02-22 Borussia M.Gladbach-Augsburg,Augsburg,away,Alexis Claude-Maurice,327905,9.87,True,True
2425,2024/2025,1834296,2024-09-21 Werder Bremen-Bayern Munich,Bayern,away,Harry Kane,83532,9.7,True,False
2425,2024/2025,1834285,2024-10-20 Wolfsburg-Werder Bremen,Werder Bremen,away,Marvin Ducksch,115509,9.57,True,True
2425,2024/2025,1834269,2024-09-14 Hoffenheim-Bayer Leverkusen,Leverkusen,away,Victor Boniface,384000,9.56,True,True
2425,2024/2025,1834479,2025-05-04 Augsburg-Holstein Kiel,Holstein Kiel,away,Alexander Bernhardsson,470693,9.52,True,True
2425,2024/2025,1834307,2024-10-27 Bochum-Bayern Munich,Bayern,away,Jamal Musiala,395252,9.49,True,True
2425,2024/2025,1834421,2025-04-05 Bochum-VfB Stuttgart,Stuttgart,away,Ermedin Demirovic,351339,9.39,True,True
2425,2024/2025,1834417,2025-03-15 Werder Bremen-Borussia M.Gladbach,Borussia M.Gladbach,away,Alassane Pléa,108585,9.3,True,True
2425,2024/2025,1834346,2024-11-30 RB Leipzig-Wolfsburg,Wolfsburg,away,Mohammed Amoura,431045,9.27,True,True
2425,2024/2025,1834287,2024-10-19 Mainz 05-RB Leipzig,RBL,away,Willi Orbán,104917,9.21,True,True
2425,2024/2025,1834348,2024-12-01 FC Heidenheim-Eintracht Frankfurt,Eintracht Frankfurt,away,Omar Marmoush,394749,9.19,True,True
2425,2024/2025,1834405,2025-02-16 Werder Bremen-Hoffenheim,Hoffenheim,away,Tom Bischof,431282,9.19,True,True
2425,2024/2025,1834294,2024-09-21 FC Heidenheim-Freiburg,Freiburg,away,Vincenzo Grifo,121192,9.13,True,True
2425,2024/2025,1834380,2025-02-08 Hoffenheim-Union Berlin,Union Berlin,away,Benedict Hollerbach,485184,9.12,True,True
2425,2024/2025,1834314,2024-09-28 Freiburg-St. Pauli,St. Pauli,away,Elias Saad,472205,9.09,True,True
2425,2024/2025,1834328,2024-11-10 VfB Stuttgart-Eintracht Frankfurt,Eintracht Frankfurt,away,Omar Marmoush,394749,9.07,True,True
2425,2024/2025,1834442,2025-04-11 Wolfsburg-RB Leipzig,RBL,away,Xavi Simons,399772,9.06,True,True
2425,2024/2025,1834451,2025-05-17 Hoffenheim-Bayern Munich,Bayern,away,Michael Olise,371281,9.05,True,True
2425,2024/2025,1834374,2025-03-01 Werder Bremen-Wolfsburg,Wolfsburg,away,Patrick Wimmer,418589,9.05,True,True
2425,2024/2025,1834312,2024-09-29 Hoffenheim-Werder Bremen,Werder Bremen,away,Jens Stage,377280,9.03,True,True
2425,2024/2025,1834519,2024-12-21 Eintracht Frankfurt-Mainz 05,Mainz,away,Paul Nebel,401107,9.0,True,True
2425,2024/2025,1834425,2025-04-06 St. Pauli-Borussia M.Gladbach,Borussia M.Gladbach,away,Tiago Pereira Cardoso,464885,8.99,True,True
2425,2024/2025,1834421,2025-04-05 Bochum-VfB Stuttgart,Stuttgart,away,Atakan Karazor,347884,8.94,True,False
2425,2024/2025,1834365,2025-03-01 RB Leipzig-Mainz 05,Mainz,away,Nadiem Amiri,261021,8.9,True,True
2425,2024/2025,1834296,2024-09-21 Werder Bremen-Bayern Munich,Bayern,away,Jamal Musiala,395252,8.89,True,False
2425,2024/2025,1834530,2025-01-26 Hoffenheim-Eintracht Frankfurt,Eintracht Frankfurt,away,Hugo Ekitiké,403784,8.85,True,False
