club,budget(€)(P/Y)by:capology.com/,budget_rank,points,league_position
Bayern Munich,285400000,1,82,1
Borussia Dortmund,123190000,2,57,4
Leipzig,104820000,3,51,7
Bayer Leverkusen,95930000,4,69,2
Wolfsburg,62500000,5,43,11
Hoffenheim,60770000,6,32,15
Stuttgart,56740000,7,50,9
Monchengladbach,51760000,8,45,10
Freiburg,49390000,9,55,5
Eintracht Frankfurt,49080000,10,60,3
Augsburg,37610000,11,43,12
Mainz,36480000,12,52,6
Union Berlin,36240000,13,40,13
Werder Bremen,35660000,14,51,8
Bochum,24100000,15,25,18
Heidenheim,23570000,16,29,16
St Pauli,20780000,17,32,14
Holstein Kiel,13250000,18,25,17
