game_id,team_id,sub_count,avg_sub,total_shots_secondHalf,total_sub_time,shots_before_avgSub,shots_after_avgSub,spm_before,spm_after,spm_diff
1834247,36,3,75.33333333333333,17.0,44,8.0,9.0,0.2637362637362638,0.6136363636363634,0.3499000999000996
1834247,134,5,84.6,5.0,40,4.0,1.0,0.10101010101010102,0.18518518518518498,0.08417508417508396
1834248,44,5,72.0,14.0,90,10.0,4.0,0.37037037037037035,0.2222222222222222,-0.14814814814814814
1834248,45,5,72.6,2.0,87,2.0,0.0,0.07246376811594205,0.0,-0.07246376811594205
1834249,109,5,74.4,6.0,78,1.0,5.0,0.03401360544217687,0.32051282051282065,0.2864992150706438
1834249,7614,5,68.2,7.0,109,6.0,1.0,0.2586206896551724,0.045871559633027525,-0.21274913002214485
1834250,37,5,80.8,11.0,46,7.0,4.0,0.19553072625698326,0.43478260869565205,0.2392518824386688
1834250,45,5,67.4,3.0,113,1.0,2.0,0.04464285714285713,0.08849557522123896,0.043852718078381835
1834251,42,2,85.0,4.0,10,4.0,0.0,0.1,0.0,-0.1
1834251,44,4,64.5,5.0,102,3.0,2.0,0.15384615384615385,0.0784313725490196,-0.07541478129713425
1834252,1206,5,60.4,7.0,148,3.0,4.0,0.19480519480519481,0.13513513513513511,-0.0596700596700597
1834252,1211,5,74.2,10.0,79,5.0,5.0,0.17123287671232876,0.3164556962025317,0.14522281949020296
1834253,4852,5,72.4,9.0,88,6.0,3.0,0.21897810218978098,0.1704545454545455,-0.04852355673523548
1834253,7614,5,73.6,6.0,82,4.0,2.0,0.1398601398601399,0.12195121951219508,-0.01790892034794482
1834254,283,5,64.8,6.0,126,0.0,6.0,0.0,0.23809523809523808,0.23809523809523808
1834254,796,5,77.0,4.0,65,3.0,1.0,0.09375,0.07692307692307693,-0.016826923076923073
1834255,41,5,65.6,5.0,122,0.0,5.0,0.0,0.2049180327868852,0.2049180327868852
1834255,50,5,73.6,10.0,82,8.0,2.0,0.2797202797202798,0.12195121951219508,-0.15776906020808473
1834256,42,5,76.4,10.0,68,4.0,6.0,0.1273885350318471,0.4411764705882355,0.3137879355563884
1834256,50,5,74.0,5.0,80,3.0,2.0,0.10344827586206896,0.125,0.021551724137931036
1834257,109,5,62.8,10.0,136,4.0,6.0,0.22471910112359555,0.2205882352941176,-0.004130865829477942
1834257,134,5,76.4,8.0,68,5.0,3.0,0.15923566878980888,0.22058823529411775,0.06135256650430887
1834258,42,5,70.0,4.0,103,3.0,1.0,0.12,0.05,-0.06999999999999999
1834258,1730,5,67.6,4.0,112,1.0,3.0,0.04424778761061948,0.1339285714285714,0.08968078381795191
1834259,134,5,65.2,8.0,124,3.0,5.0,0.14851485148514848,0.20161290322580647,0.05309805174065799
1834259,1730,4,65.75,9.0,97,6.0,3.0,0.2891566265060241,0.12371134020618557,-0.1654452862998385
1834260,33,4,69.0,8.0,84,4.0,4.0,0.16666666666666666,0.19047619047619047,0.023809523809523808
1834260,1206,5,65.6,8.0,122,2.0,6.0,0.09708737864077673,0.24590163934426224,0.14881426070348552
1834261,33,3,77.0,10.0,39,8.0,2.0,0.25,0.15384615384615385,-0.09615384615384615
1834261,37,3,72.66666666666667,7.0,52,3.0,4.0,0.10843373493975902,0.23076923076923084,0.12233549582947181
1834262,44,4,71.0,4.0,76,3.0,1.0,0.11538461538461539,0.05263157894736842,-0.06275303643724697
1834262,796,5,66.6,5.0,117,2.0,3.0,0.09259259259259262,0.12820512820512817,0.03561253561253555
1834263,796,5,67.6,10.0,112,4.0,6.0,0.17699115044247793,0.2678571428571428,0.09086599241466486
1834263,7614,5,76.4,6.0,68,5.0,1.0,0.15923566878980888,0.07352941176470591,-0.08570625702510297
1834264,219,4,68.5,8.0,86,4.0,4.0,0.1702127659574468,0.18604651162790697,0.01583374567046017
1834264,796,5,71.8,8.0,91,1.0,7.0,0.0373134328358209,0.3846153846153846,0.3473019517795637
1834265,44,5,71.2,6.0,94,4.0,2.0,0.15267175572519082,0.10638297872340427,-0.046288777001786546
1834265,4852,5,66.2,5.0,119,3.0,2.0,0.14150943396226412,0.08403361344537816,-0.05747582051688596
1834266,33,5,78.6,8.0,60,3.0,5.0,0.0892857142857143,0.43859649122806993,0.3493107769423556
1834266,109,4,72.75,12.0,69,10.0,2.0,0.36036036036036034,0.11594202898550725,-0.24441833137485308
1834267,283,4,77.0,7.0,52,7.0,0.0,0.21875,0.0,-0.21875
1834267,4852,5,74.6,4.0,78,2.0,2.0,0.06756756756756759,0.12987012987012983,0.062302562302562245
1834268,219,3,78.66666666666667,4.0,34,4.0,0.0,0.11881188118811879,0.0,-0.11881188118811879
1834268,283,5,75.4,6.0,73,3.0,3.0,0.09868421052631578,0.2054794520547946,0.10679524152847882
1834269,36,5,76.8,9.0,66,6.0,3.0,0.18867924528301888,0.22727272727272724,0.038593481989708356
1834269,1211,5,73.4,8.0,83,2.0,6.0,0.0704225352112676,0.36144578313253023,0.29102324792126266
1834270,36,4,76.75,14.0,53,9.0,5.0,0.28346456692913385,0.37735849056603776,0.09389392363690391
1834270,7614,5,68.8,5.0,106,3.0,2.0,0.12605042016806725,0.09433962264150943,-0.031710797526557824
1834271,36,4,71.0,14.0,76,9.0,5.0,0.34615384615384615,0.2631578947368421,-0.08299595141700405
1834271,45,5,75.0,5.0,75,3.0,2.0,0.1,0.13333333333333333,0.033333333333333326
1834272,50,5,58.4,14.0,158,3.0,11.0,0.2238805970149254,0.3481012658227848,0.12422066880785937
1834272,109,5,70.4,6.0,98,2.0,4.0,0.07874015748031495,0.20408163265306128,0.12534147517274635
1834273,41,5,64.6,17.0,127,4.0,13.0,0.20408163265306128,0.5118110236220471,0.3077293909689858
1834273,219,5,70.4,3.0,98,2.0,1.0,0.07874015748031495,0.05102040816326532,-0.027719749317049625
1834274,37,5,57.8,16.0,161,3.0,13.0,0.23437500000000006,0.40372670807453415,0.1693517080745341
1834274,41,5,72.2,2.0,89,2.0,0.0,0.07352941176470587,0.0,-0.07352941176470587
1834275,283,5,58.8,9.0,156,2.0,7.0,0.1449275362318841,0.22435897435897434,0.07943143812709025
1834275,1730,5,72.4,7.0,88,5.0,2.0,0.1824817518248175,0.11363636363636367,-0.06884538818845382
1834276,37,5,70.2,5.0,99,0.0,5.0,0.0,0.25252525252525254,0.25252525252525254
1834276,50,5,71.0,6.0,95,2.0,4.0,0.07692307692307693,0.21052631578947367,0.13360323886639675
1834277,44,4,70.5,9.0,82,5.0,4.0,0.19607843137254902,0.20512820512820512,0.009049773755656104
1834277,283,4,80.75,6.0,37,4.0,2.0,0.11188811188811189,0.21621621621621623,0.10432810432810434
1834278,45,5,78.4,11.0,61,7.0,4.0,0.20958083832335325,0.34482758620689674,0.1352467478835435
1834278,1211,5,60.8,9.0,146,3.0,6.0,0.18987341772151903,0.2054794520547945,0.015606034333275481
1834279,33,5,68.2,11.0,109,3.0,8.0,0.1293103448275862,0.3669724770642202,0.23766213223663402
1834279,45,5,62.6,10.0,137,1.0,9.0,0.056818181818181816,0.3284671532846716,0.27164897146648975
1834280,109,5,55.0,10.0,175,1.0,9.0,0.1,0.2571428571428571,0.1571428571428571
1834280,1211,5,78.2,5.0,60,4.0,1.0,0.12048192771084336,0.08474576271186443,-0.03573616499897893
1834281,1730,5,56.6,7.0,167,1.0,6.0,0.08620689655172413,0.17964071856287425,0.09343382201115012
1834281,4852,5,67.8,9.0,111,3.0,6.0,0.13157894736842107,0.27027027027027023,0.13869132290184916
1834282,42,5,64.8,5.0,126,3.0,2.0,0.15151515151515155,0.07936507936507936,-0.07215007215007219
1834282,219,5,77.4,11.0,63,7.0,4.0,0.21604938271604934,0.3174603174603176,0.10141093474426827
1834283,50,5,73.4,4.0,83,0.0,4.0,0.0,0.24096385542168683,0.24096385542168683
