season,season_label,game_id,team,player,player_id,age,player_goals,player_shots,team_goals,team_shots
2425,2024/2025,711433,1. FC Union Berlin,Alexander Schwolow,156416,33.0,0,0,1,15
2425,2024/2025,711433,1. FC Union Berlin,Aljoscha Kemlein,349922,21.0,0,0,1,15
2425,2024/2025,711433,1. FC Union Berlin,András Schäfer,284702,26.0,0,2,1,15
2425,2024/2025,711433,1. FC Union Berlin,Benedict Hollerbach,307515,24.0,0,2,1,15
2425,2024/2025,711433,1. FC Union Berlin,Christopher Trimmel,146485,39.0,0,0,1,15
2425,2024/2025,711433,1. FC Union Berlin,Danilho Doekhi,233622,27.0,0,1,1,15
2425,2024/2025,711433,1. FC Union Berlin,Diogo Leite,258910,27.0,0,1,1,15
2425,2024/2025,711433,1. FC Union Berlin,Frederik Ronnow,165424,33.0,0,0,1,15
2425,2024/2025,711433,1. FC Union Berlin,Janik Haberer,170604,31.0,0,0,1,15
2425,2024/2025,711433,1. FC Union Berlin,Jordan Pefok,216035,29.0,0,2,1,15
2425,2024/2025,711433,1. FC Union Berlin,Kevin Vogt,132973,34.0,0,0,1,15
2425,2024/2025,711433,1. FC Union Berlin,Leopold Querfeld,330455,22.0,0,0,1,15
2425,2024/2025,711433,1. FC Union Berlin,Lucas Tousart,215574,28.0,0,0,1,15
2425,2024/2025,711433,1. FC Union Berlin,László Bénes,221047,28.0,1,3,1,15
2425,2024/2025,711433,1. FC Union Berlin,Paul Jaeckel,271606,27.0,0,0,1,15
2425,2024/2025,711433,1. FC Union Berlin,Rani Khedira,159152,32.0,0,0,1,15
2425,2024/2025,711433,1. FC Union Berlin,Robin Gosens,198087,31.0,0,1,1,15
2425,2024/2025,711433,1. FC Union Berlin,Tim Skarke,220796,29.0,0,1,1,15
2425,2024/2025,711433,1. FC Union Berlin,Tom Rothe,324269,21.0,0,0,1,15
2425,2024/2025,711433,1. FC Union Berlin,Yorbe Vertessen,291669,25.0,0,1,1,15
2425,2024/2025,711433,Mainz,Andreas Hanche-Olsen,218646,29.0,0,0,1,14
2425,2024/2025,711433,Mainz,Anthony Caci,241297,28.0,0,0,1,14
2425,2024/2025,711433,Mainz,Armindo Sieb,308843,23.0,0,2,1,14
2425,2024/2025,711433,Mainz,Aymen Barkok,249110,27.0,0,0,1,14
2425,2024/2025,711433,Mainz,Danny da Costa,154603,32.0,0,0,1,14
2425,2024/2025,711433,Mainz,Dominik Kohr,172997,32.0,0,0,1,14
2425,2024/2025,711433,Mainz,Jonathan Burkardt,274887,25.0,0,5,1,14
2425,2024/2025,711433,Mainz,Kaishu Sano,357030,25.0,0,1,1,14
2425,2024/2025,711433,Mainz,Karim Onisiwo,224309,33.0,0,3,1,14
2425,2024/2025,711433,Mainz,Lasse Rieß,321057,24.0,0,0,1,14
2425,2024/2025,711433,Mainz,Lee Jae-Sung,134103,33.0,0,1,1,14
2425,2024/2025,711433,Mainz,Marco Richter,259053,28.0,0,0,1,14
2425,2024/2025,711433,Mainz,Maxim Leitsch,238531,27.0,0,0,1,14
2425,2024/2025,711433,Mainz,Nadiem Amiri,210818,29.0,1,1,1,14
2425,2024/2025,711433,Mainz,Nelson Weiper,351280,20.0,0,0,1,14
2425,2024/2025,711433,Mainz,Nikolas Veratschnig,334198,23.0,0,0,1,14
2425,2024/2025,711433,Mainz,Paul Nebel,307282,23.0,0,0,1,14
2425,2024/2025,711433,Mainz,Phillipp Mwene,239574,32.0,0,2,1,14
2425,2024/2025,711433,Mainz,Robin Zentner,206114,31.0,0,0,1,14
2425,2024/2025,711433,Mainz,Stefan Bell,144620,34.0,0,2,1,14
2425,2024/2025,711434,Bayern Munich,Aleksandar Pavlovic,359370,21.0,0,0,3,15
2425,2024/2025,711434,Bayern Munich,Alphonso Davies,236721,25.0,0,0,3,15
2425,2024/2025,711434,Bayern Munich,Dayot Upamecano,222793,27.0,0,1,3,15
2425,2024/2025,711434,Bayern Munich,Eric Dier,155532,32.0,0,0,3,15
2425,2024/2025,711434,Bayern Munich,Harry Kane,142200,32.0,0,2,3,15
2425,2024/2025,711434,Bayern Munich,Jamal Musiala,303821,23.0,1,3,3,15
2425,2024/2025,711434,Bayern Munich,Joshua Kimmich,190161,31.0,0,1,3,15
2425,2024/2025,711434,Bayern Munich,João Palhinha,224144,30.0,0,0,3,15
2425,2024/2025,711434,Bayern Munich,Kim Min-Jae,157688,29.0,0,0,3,15
2425,2024/2025,711434,Bayern Munich,Kingsley Coman,184012,29.0,0,0,3,15
2425,2024/2025,711434,Bayern Munich,Konrad Laimer,169189,28.0,0,0,3,15
2425,2024/2025,711434,Bayern Munich,Leon Goretzka,174550,31.0,0,0,3,15
2425,2024/2025,711434,Bayern Munich,Manuel Neuer,84774,39.0,0,0,3,15
2425,2024/2025,711434,Bayern Munich,Mathys Tel,325042,20.0,0,0,3,15
2425,2024/2025,711434,Bayern Munich,Michael Olise,286831,24.0,0,1,3,15
2425,2024/2025,711434,Bayern Munich,Raphaël Guerreiro,176228,32.0,0,0,3,15
2425,2024/2025,711434,Bayern Munich,Sacha Boey,287225,25.0,0,0,3,15
2425,2024/2025,711434,Bayern Munich,Serge Gnabry,178980,30.0,1,6,3,15
2425,2024/2025,711434,Bayern Munich,Sven Ulreich,113733,37.0,0,0,3,15
2425,2024/2025,711434,Bayern Munich,Thomas Müller,123465,36.0,0,1,3,15
2425,2024/2025,711434,VfL Wolfsburg,Bence Dárdai,366562,20.0,0,0,2,10
2425,2024/2025,711434,VfL Wolfsburg,Bennit Bröger,384501,19.0,0,0,2,10
2425,2024/2025,711434,VfL Wolfsburg,Cédric Zesiger,245808,27.0,0,0,2,10
2425,2024/2025,711434,VfL Wolfsburg,David Odogu,362411,19.0,0,0,2,10
2425,2024/2025,711434,VfL Wolfsburg,Jakub Kaminski,304933,23.0,0,1,2,10
2425,2024/2025,711434,VfL Wolfsburg,Jonas Wind,271215,27.0,0,0,2,10
2425,2024/2025,711434,VfL Wolfsburg,Jonathan Akaegbobi,389627,19.0,0,0,2,10
2425,2024/2025,711434,VfL Wolfsburg,Kamil Grabara,259474,27.0,0,0,2,10
2425,2024/2025,711434,VfL Wolfsburg,Kevin Behrens,221614,35.0,0,1,2,10
2425,2024/2025,711434,VfL Wolfsburg,Kilian Fischer,321247,25.0,0,0,2,10
2425,2024/2025,711434,VfL Wolfsburg,Lovro Majer,237549,28.0,2,3,2,10
2425,2024/2025,711434,VfL Wolfsburg,Marius Müller,172005,32.0,0,0,2,10
2425,2024/2025,711434,VfL Wolfsburg,Mattias Svanberg,220120,27.0,0,2,2,10
2425,2024/2025,711434,VfL Wolfsburg,Maximilian Arnold,169037,31.0,0,1,2,10
2425,2024/2025,711434,VfL Wolfsburg,Nicolas Cozza,259022,27.0,0,0,2,10
2425,2024/2025,711434,VfL Wolfsburg,Patrick Wimmer,300095,24.0,0,0,2,10
2425,2024/2025,711434,VfL Wolfsburg,Ridle Baku,258963,27.0,0,1,2,10
2425,2024/2025,711434,VfL Wolfsburg,Sebastiaan Bornauw,271130,26.0,0,0,2,10
2425,2024/2025,711434,VfL Wolfsburg,Tiago Tomás,304019,23.0,0,0,2,10
2425,2024/2025,711434,VfL Wolfsburg,Yannick Gerhardt,189529,31.0,0,1,2,10
2425,2024/2025,711435,Holstein Kiel,Alexander Bernhardsson,301370,27.0,1,2,2,17
2425,2024/2025,711435,Holstein Kiel,Andu Kelati,388786,23.0,0,1,2,17
2425,2024/2025,711435,Holstein Kiel,Armin Gigovic,288932,23.0,0,0,2,17
2425,2024/2025,711435,Holstein Kiel,Benedikt Pichler,289933,28.0,0,1,2,17
2425,2024/2025,711435,Holstein Kiel,Finn Porath,221671,29.0,0,0,2,17
2425,2024/2025,711435,Holstein Kiel,Jann-Fiete Arp,261164,26.0,0,0,2,17
2425,2024/2025,711435,Holstein Kiel,Lasse Rosenboom,344856,24.0,0,0,2,17
2425,2024/2025,711435,Holstein Kiel,Lewis Holtby,122289,35.0,0,1,2,17
2425,2024/2025,711435,Holstein Kiel,Magnus Knudsen,287274,24.0,0,3,2,17
2425,2024/2025,711435,Holstein Kiel,Marco Komenda,205946,29.0,0,1,2,17
2425,2024/2025,711435,Holstein Kiel,Marko Ivezic,338304,24.0,0,0,2,17
2425,2024/2025,711435,Holstein Kiel,Marvin Schulz,205779,31.0,0,0,2,17
2425,2024/2025,711435,Holstein Kiel,Max Geschwill,312543,24.0,0,0,2,17
2425,2024/2025,711435,Holstein Kiel,Nicolai Remberg,321226,25.0,0,0,2,17
2425,2024/2025,711435,Holstein Kiel,Patrick Erras,227043,31.0,0,1,2,17
2425,2024/2025,711435,Holstein Kiel,Shuto Machino,271352,26.0,1,4,2,17
2425,2024/2025,711435,Holstein Kiel,Thomas Dähne,198171,32.0,0,0,2,17
2425,2024/2025,711435,Holstein Kiel,Timo Becker,169481,28.0,0,3,2,17
2425,2024/2025,711435,Holstein Kiel,Timon Weiner,275807,27.0,0,0,2,17
2425,2024/2025,711435,Holstein Kiel,Tymoteusz Puchacz,258421,27.0,0,0,2,17
2425,2024/2025,711435,TSG Hoffenheim,Adam Hlozek,292169,23.0,0,4,3,21
2425,2024/2025,711435,TSG Hoffenheim,Alexander Prass,320939,24.0,0,2,3,21
2425,2024/2025,711435,TSG Hoffenheim,Andrej Kramaric,139520,34.0,3,4,3,21
2425,2024/2025,711435,TSG Hoffenheim,Anton Stach,304802,27.0,0,2,3,21
2425,2024/2025,711435,TSG Hoffenheim,Attila Szalai,289536,28.0,0,0,3,21
2425,2024/2025,711435,TSG Hoffenheim,Dennis Geiger,221466,27.0,0,0,3,21
2425,2024/2025,711435,TSG Hoffenheim,Florian Grillitsch,219304,30.0,0,2,3,21
2425,2024/2025,711435,TSG Hoffenheim,Florian Micheler,389264,20.0,0,0,3,21
2425,2024/2025,711435,TSG Hoffenheim,Grischa Prömel,218714,31.0,0,0,3,21
2425,2024/2025,711435,TSG Hoffenheim,Jacob Bruun Larsen,233073,27.0,0,2,3,21
2425,2024/2025,711435,TSG Hoffenheim,Kevin Akpoguma,177652,30.0,0,0,3,21
2425,2024/2025,711435,TSG Hoffenheim,Lars Strobl,389265,20.0,0,0,3,21
2425,2024/2025,711435,TSG Hoffenheim,Luca Philipp,304795,25.0,0,0,3,21
2425,2024/2025,711435,TSG Hoffenheim,Marius Bulter,275797,32.0,0,2,3,21
2425,2024/2025,711435,TSG Hoffenheim,Max Moerstedt,372035,20.0,0,1,3,21
2425,2024/2025,711435,TSG Hoffenheim,Mergim Berisha,251413,27.0,0,1,3,21
2425,2024/2025,711435,TSG Hoffenheim,Oliver Baumann,138213,35.0,0,0,3,21
2425,2024/2025,711435,TSG Hoffenheim,Pavel Kaderábek,207401,33.0,0,0,3,21
2425,2024/2025,711435,TSG Hoffenheim,Stanley N'Soki,268808,26.0,0,0,3,21
2425,2024/2025,711435,TSG Hoffenheim,Tim Drexler,380916,20.0,0,1,3,21
2425,2024/2025,711436,SC Freiburg,Christian Günter,174618,33.0,0,1,3,16
2425,2024/2025,711436,SC Freiburg,Florent Muslija,256768,27.0,0,0,3,16
2425,2024/2025,711436,SC Freiburg,Florian Müller,122292,28.0,0,0,3,16
2425,2024/2025,711436,SC Freiburg,Ifechukwu Ogbus,387474,20.0,0,0,3,16
2425,2024/2025,711436,SC Freiburg,Jannik Huth,224246,31.0,0,0,3,16
2425,2024/2025,711436,SC Freiburg,Jordy Makengo,367558,24.0,0,0,3,16
2425,2024/2025,711436,SC Freiburg,Junior Adamu,305957,24.0,0,1,3,16
2425,2024/2025,711436,SC Freiburg,Lucas Höler,238525,31.0,0,0,3,16
2425,2024/2025,711436,SC Freiburg,Lukas Kübler,171701,33.0,2,2,3,16
2425,2024/2025,711436,SC Freiburg,Matthias Ginter,170209,32.0,0,0,3,16
2425,2024/2025,711436,SC Freiburg,Max Rosenfelder,367557,23.0,0,0,3,16
2425,2024/2025,711436,SC Freiburg,Maximilian Eggestein,214203,29.0,0,0,3,16
2425,2024/2025,711436,SC Freiburg,Merlin Röhl,311963,23.0,0,1,3,16
2425,2024/2025,711436,SC Freiburg,Nicolas Höfler,149570,35.0,0,0,3,16
2425,2024/2025,711436,SC Freiburg,Noah Weißhaupt,321063,24.0,0,0,3,16
2425,2024/2025,711436,SC Freiburg,Patrick Osterhage,291203,26.0,0,3,3,16
2425,2024/2025,711436,SC Freiburg,Philipp Lienhart,219316,29.0,0,0,3,16
2425,2024/2025,711436,SC Freiburg,Ritsu Doan,219627,27.0,1,3,3,16
2425,2024/2025,711436,SC Freiburg,Roland Sallai,219444,28.0,0,2,3,16
2425,2024/2025,711436,SC Freiburg,Vincenzo Grifo,179571,32.0,0,3,3,16
