season,season_label,team,avg_age,matches,home_matches,away_matches,total_goals,total_shots,goals_per_shot
2425,2024/2025,Bayern Munich,25.752305028787696,34,17,17,99,646,0.15325077399380804
2425,2024/2025,Borussia Dortmund,25.172347707049965,34,17,17,71,484,0.14669421487603307
2425,2024/2025,Bayer Leverkusen,25.419178203175026,34,17,17,72,505,0.14257425742574256
2425,2024/2025,Eintracht Frankfurt,25.047501711156745,34,17,17,68,485,0.1402061855670103
2425,2024/2025,VfB Stuttgart,24.942505133470227,34,17,17,64,471,0.13588110403397027
2425,2024/2025,Borussia Mönchengladbach,25.844650569992208,34,17,17,55,418,0.13157894736842105
2425,2024/2025,Holstein Kiel,26.528991884228024,34,17,17,49,373,0.13136729222520108
2425,2024/2025,Mainz,27.409015351520484,34,17,17,55,421,0.13064133016627077
2425,2024/2025,RB Leipzig,24.251334702258728,34,17,17,53,409,0.1295843520782396
2425,2024/2025,VfL Wolfsburg,25.167576024249534,34,17,17,56,437,0.12814645308924486
2425,2024/2025,Werder Bremen,26.069900752908968,34,17,17,54,429,0.1258741258741259
2425,2024/2025,SC Freiburg,26.786376832117824,34,17,17,49,409,0.1198044009779951
2425,2024/2025,TSG Hoffenheim,25.51605227991265,34,17,17,46,443,0.1038374717832957
2425,2024/2025,1. FC Heidenheim 1846,27.525124501404328,34,17,17,37,403,0.09181141439205956
2425,2024/2025,FC Augsburg,26.066674719168983,34,17,17,35,399,0.08771929824561403
2425,2024/2025,1. FC Union Berlin,27.86028129208894,34,17,17,35,417,0.08393285371702638
2425,2024/2025,VfL Bochum,27.461173301538935,34,17,17,33,436,0.07568807339449542
2425,2024/2025,St. Pauli,26.03293473446874,34,17,17,28,379,0.07387862796833773
